bairro,densidade_pop,idh,dist_ubs_km,historico_atendimentos,pct_exames_pendentes,populacao_infantil_pct,dia_semana_cadastro,latitude,longitude,demanda
Capão Redondo,19714.66,0.6482,0.305,13,0.2385,0.2379,5,-23.669323,-46.784769,Media
Capão Redondo,20432.64,0.6639,0.286,12,0.0788,0.2193,4,-23.677002,-46.781454,Alta
Capão Redondo,22093.81,0.6514,0.711,6,0.3203,0.2589,5,-23.66131,-46.787365,Alta
Capão Redondo,19217.92,0.6612,0.459,6,0.1914,0.1625,1,-23.66214,-46.786407,Media
Capão Redondo,18012.9,0.6433,0.671,6,0.3438,0.2266,2,-23.662959,-46.776022,Alta
Capão Redondo,16426.32,0.6147,0.337,16,0.3473,0.2083,0,-23.666642,-46.782622,Alta
Capão Redondo,20747.59,0.6762,0.325,10,0.2591,0.3204,4,-23.661954,-46.788937,Alta
Capão Redondo,21224.36,0.6361,0.352,8,0.2689,0.1798,1,-23.662944,-46.778522,Baixa
Capão Redondo,17863.3,0.6233,0.448,9,0.1303,0.2127,6,-23.665,-46.784583,Alta
Capão Redondo,17539.48,0.6317,0.464,18,0.3721,0.2371,6,-23.665765,-46.787768,Media
Capão Redondo,18993.95,0.6294,0.582,7,0.36,0.1028,1,-23.670625,-46.782778,Alta
Capão Redondo,16834.86,0.6269,0.326,9,0.4231,0.2766,1,-23.659377,-46.787609,Alta
Capão Redondo,20986.99,0.6484,0.426,13,0.2196,0.2466,6,-23.674585,-46.77888,Alta
Capão Redondo,19815.91,0.6395,0.288,13,0.6137,0.2388,1,-23.660311,-46.786599,Alta
Capão Redondo,19168.72,0.6381,0.279,12,0.4376,0.0993,2,-23.673161,-46.780233,Media
Capão Redondo,20704.12,0.6523,0.327,7,0.3743,0.132,0,-23.661941,-46.779857,Alta
Capão Redondo,17299.61,0.7024,0.305,5,0.335,0.1401,3,-23.66345,-46.781637,Alta
Cidade Tiradentes,19461.82,0.6793,5.146,12,0.3809,0.2324,6,-23.587907,-46.397835,Alta
Cidade Tiradentes,17523.92,0.6831,5.11,7,0.3828,0.1636,3,-23.586493,-46.413827,Alta
Cidade Tiradentes,22737.08,0.6985,4.832,11,0.5345,0.2143,4,-23.592263,-46.401567,Alta
Cidade Tiradentes,19090.08,0.6821,4.878,7,0.041,0.2249,3,-23.589846,-46.401834,Media
Cidade Tiradentes,19746.41,0.6945,4.705,10,0.3214,0.179,5,-23.586643,-46.404143,Media
Cidade Tiradentes,20642.59,0.7233,5.089,8,0.2012,0.275,2,-23.57865,-46.390862,Alta
Cidade Tiradentes,19988.35,0.6732,5.049,12,0.128,0.2621,3,-23.591789,-46.388152,Alta
Cidade Tiradentes,19990.74,0.6848,5.084,10,0.2882,0.2931,0,-23.586723,-46.414382,Alta
Cidade Tiradentes,20914.36,0.6741,5.06,18,0.5205,0.2337,0,-23.588704,-46.411461,Alta
Cidade Tiradentes,19391.76,0.6873,4.74,16,0.2857,0.2246,1,-23.584815,-46.402203,Alta
Cidade Tiradentes,21323.82,0.6946,5.282,7,0.3072,0.2666,1,-23.58478,-46.403504,Alta
Cidade Tiradentes,21036.57,0.6516,5.062,10,0.2324,0.2087,4,-23.586913,-46.407787,Alta
Cidade Tiradentes,20750.71,0.7021,4.722,11,0.5561,0.2639,5,-23.594687,-46.408751,Alta
Cidade Tiradentes,19931.76,0.653,5.031,6,0.1849,0.2116,0,-23.585233,-46.409185,Alta
Cidade Tiradentes,18255.8,0.7069,5.12,15,0.3588,0.1603,5,-23.592522,-46.411342,Alta
Cidade Tiradentes,22596.09,0.7084,5.123,7,0.4656,0.2333,1,-23.586202,-46.410006,Alta
Cidade Tiradentes,21419.49,0.7046,4.931,11,0.3959,0.1975,4,-23.592579,-46.404973,Media
Cidade Tiradentes,20787.12,0.7152,4.735,19,0.2431,0.1892,4,-23.588786,-46.409531,Alta
Cidade Tiradentes,21423.08,0.6719,5.272,10,0.165,0.2566,4,-23.595796,-46.404218,Alta
Cidade Tiradentes,21822.98,0.6765,5.101,14,0.154,0.2247,0,-23.598102,-46.404098,Alta
Cidade Tiradentes,18754.48,0.6577,4.968,4,0.4937,0.2308,4,-23.592323,-46.39766,Alta
Cidade Tiradentes,19453.17,0.6697,4.872,14,0.2919,0.2319,3,-23.589352,-46.398217,Alta
Cidade Tiradentes,19422.67,0.6891,4.727,11,0.3579,0.2444,0,-23.586347,-46.405002,Alta
Cidade Tiradentes,19504.62,0.6944,4.932,8,0.0711,0.2683,1,-23.58524,-46.400681,Alta
Cidade Tiradentes,19086.48,0.692,5.36,10,0.1668,0.1568,5,-23.578314,-46.398906,Media
Vila Mariana,8268.2,0.8663,0.63,7,0.0727,0.2303,2,-23.583059,-46.637167,Baixa
Vila Mariana,7714.96,0.8763,0.466,7,0.3832,0.253,3,-23.580018,-46.638517,Media
Vila Mariana,6818.83,0.8355,0.63,8,0.0368,0.2227,2,-23.592064,-46.643751,Baixa
Vila Mariana,6670.99,0.851,0.866,8,0.339,0.2184,5,-23.586947,-46.63568,Media
Vila Mariana,6199.96,0.8562,1.025,8,0.1832,0.1122,2,-23.587564,-46.632765,Baixa
Vila Mariana,8548.0,0.84,0.739,16,0.1645,0.2515,2,-23.588941,-46.630606,Media
Vila Mariana,9487.36,0.865,0.693,16,0.7106,0.2586,4,-23.59216,-46.627696,Media
Vila Mariana,7113.1,0.8421,0.495,9,0.3511,0.2231,5,-23.589062,-46.633625,Baixa
Vila Mariana,9143.05,0.8785,0.445,9,0.1267,0.2411,3,-23.58911,-46.623011,Baixa
Vila Mariana,8796.46,0.8555,0.672,6,0.275,0.2034,5,-23.57608,-46.632729,Media
Vila Mariana,7268.93,0.8487,0.715,13,0.2221,0.1662,1,-23.586595,-46.633037,Baixa
Vila Mariana,9326.56,0.8469,0.655,6,0.3945,0.3606,6,-23.598146,-46.638392,Media
Vila Mariana,7034.1,0.8508,0.755,9,0.2698,0.2502,0,-23.578994,-46.633528,Baixa
Vila Mariana,6806.77,0.8258,0.954,14,0.1597,0.1734,4,-23.594596,-46.634516,Baixa
Vila Mariana,5525.86,0.8666,0.486,11,0.1606,0.2502,1,-23.591072,-46.636981,Baixa
Vila Mariana,9226.6,0.8718,0.562,10,0.1425,0.1875,6,-23.597028,-46.634237,Baixa
Vila Mariana,8439.32,0.8477,0.67,14,0.1435,0.2443,0,-23.596035,-46.626786,Baixa
Vila Mariana,6744.41,0.8446,0.444,13,0.2937,0.2671,1,-23.587139,-46.637803,Baixa
Vila Mariana,7193.39,0.8314,0.448,13,0.036,0.2323,2,-23.586845,-46.646586,Baixa
Vila Mariana,8517.64,0.8474,0.491,8,0.6021,0.2408,4,-23.595052,-46.631544,Baixa
Vila Mariana,8500.63,0.8813,1.351,7,0.1182,0.2752,2,-23.587307,-46.632885,Baixa
Vila Mariana,11726.47,0.877,0.723,4,0.4874,0.2664,0,-23.576737,-46.63845,Media
Vila Mariana,7851.15,0.8529,0.579,14,0.2406,0.2207,6,-23.588293,-46.630568,Media
Vila Mariana,10363.51,0.8687,0.449,12,0.1043,0.241,6,-23.583311,-46.628999,Baixa
Vila Mariana,4735.25,0.8633,0.587,14,0.389,0.233,3,-23.592058,-46.634277,Baixa
Mooca,12578.24,0.8853,0.302,9,0.4071,0.2951,0,-23.548153,-46.593742,Media
Mooca,10303.17,0.8809,0.304,13,0.1933,0.2985,6,-23.553661,-46.594598,Baixa
Mooca,12579.19,0.9191,0.581,10,0.4107,0.2996,6,-23.553673,-46.609196,Baixa
Mooca,9310.51,0.8786,0.258,12,0.2385,0.2534,2,-23.552125,-46.606804,Baixa
Mooca,7869.21,0.8826,0.337,10,0.2537,0.1977,3,-23.546999,-46.595594,Baixa
Mooca,9060.13,0.8545,0.739,8,0.0315,0.1349,0,-23.54635,-46.590216,Baixa
Mooca,9410.91,0.8536,0.43,10,0.1334,0.1912,5,-23.551984,-46.58789,Baixa
Mooca,11900.41,0.838,0.55,9,0.272,0.2338,1,-23.552549,-46.596649,Media
Mooca,8901.61,0.8799,0.467,13,0.1581,0.1932,0,-23.553916,-46.594294,Baixa
Mooca,9743.24,0.8519,0.272,10,0.0896,0.2123,0,-23.555414,-46.60087,Media
Mooca,12342.8,0.8597,0.443,11,0.3236,0.1759,1,-23.550813,-46.597179,Baixa
Mooca,10187.56,0.8665,0.277,9,0.3346,0.1819,3,-23.540847,-46.59761,Baixa
Mooca,9536.93,0.8246,0.614,10,0.3011,0.2653,3,-23.553436,-46.600007,Baixa
Mooca,10683.35,0.9026,0.486,10,0.2496,0.3147,5,-23.55225,-46.598857,Baixa
Mooca,9546.07,0.8901,0.589,9,0.203,0.1389,1,-23.548828,-46.593844,Baixa
Mooca,10970.64,0.8781,0.341,10,0.0956,0.245,0,-23.552441,-46.599168,Media
Mooca,10942.6,0.8268,0.359,10,0.4389,0.2864,2,-23.543488,-46.591332,Media
Mooca,10661.06,0.8496,0.377,8,0.4356,0.2163,4,-23.555979,-46.601819,Baixa
Mooca,12417.56,0.8938,0.542,12,0.2305,0.2905,3,-23.550353,-46.593879,Baixa
Mooca,13597.03,0.8518,0.386,13,0.1329,0.2719,5,-23.544843,-46.597439,Media
Mooca,12127.47,0.8726,0.514,4,0.0812,0.1272,1,-23.555295,-46.597038,Baixa
Mooca,9202.2,0.8871,0.742,8,0.5598,0.2877,2,-23.555984,-46.597212,Baixa
Mooca,8879.68,0.8703,0.262,14,0.4713,0.1907,1,-23.548957,-46.59744,Media
Mooca,8923.79,0.8491,0.679,15,0.0832,0.1251,0,-23.556034,-46.597104,Baixa
Mooca,10761.29,0.8567,0.53,10,0.1457,0.1989,6,-23.551306,-46.598998,Baixa
Tatuapé,12175.63,0.871,0.767,10,0.2717,0.2427,3,-23.539108,-46.571522,Baixa
Tatuapé,7793.35,0.8433,0.67,10,0.6203,0.2168,1,-23.539829,-46.569504,Baixa
Tatuapé,10764.57,0.8762,0.671,5,0.3682,0.24,5,-23.536489,-46.577067,Media
Tatuapé,11081.46,0.8561,0.65,8,0.2589,0.1657,6,-23.537121,-46.57005,Baixa
Tatuapé,10291.13,0.8225,0.803,9,0.1762,0.1969,3,-23.540014,-46.581222,Baixa
Tatuapé,13709.02,0.8524,1.045,4,0.1004,0.2723,4,-23.540349,-46.577334,Baixa
Tatuapé,10608.9,0.8721,0.746,10,0.3602,0.2575,4,-23.541472,-46.584585,Baixa
Tatuapé,11355.35,0.8465,0.79,13,0.4387,0.2488,0,-23.539222,-46.577319,Alta
Tatuapé,13973.77,0.8486,0.794,13,0.166,0.2733,4,-23.537528,-46.576446,Media
Tatuapé,9156.61,0.856,0.763,8,0.1015,0.1914,0,-23.535198,-46.577788,Baixa
Tatuapé,9056.32,0.8686,0.706,6,0.1238,0.1242,0,-23.54488,-46.579672,Baixa
Tatuapé,9390.9,0.8499,0.788,5,0.5788,0.2538,0,-23.543156,-46.576454,Media
Tatuapé,12784.88,0.8548,1.205,7,0.2857,0.2798,3,-23.538839,-46.57102,Baixa
Tatuapé,11119.38,0.8688,0.827,12,0.1219,0.2915,2,-23.531158,-46.575283,Baixa
Tatuapé,12384.72,0.8407,0.646,6,0.1099,0.373,2,-23.544287,-46.573949,Media
Tatuapé,10118.54,0.8877,0.799,10,0.1133,0.1539,4,-23.540686,-46.580656,Baixa
Tatuapé,10480.03,0.8651,0.896,14,0.3852,0.1791,4,-23.53847,-46.579816,Alta
Tatuapé,8206.06,0.8439,0.921,7,0.5679,0.1931,1,-23.540044,-46.576294,Alta
Tatuapé,10051.71,0.88,0.987,11,0.807,0.3172,5,-23.528845,-46.581599,Media
Tatuapé,8938.67,0.8754,0.695,11,0.124,0.1525,4,-23.539558,-46.580231,Baixa
Tatuapé,11788.94,0.8745,0.945,11,0.065,0.3021,2,-23.537878,-46.577967,Baixa
Tatuapé,10362.4,0.8545,1.108,8,0.3615,0.2036,0,-23.55058,-46.587141,Baixa
Tatuapé,10818.49,0.8368,0.662,8,0.0864,0.2214,2,-23.53095,-46.579908,Baixa
Tatuapé,9972.95,0.8978,0.936,11,0.1593,0.1528,1,-23.541921,-46.577125,Baixa
Tatuapé,13471.15,0.8449,0.655,5,0.3496,0.2993,3,-23.531081,-46.573296,Baixa
Lapa,15912.78,0.7696,2.172,12,0.1676,0.1426,1,-23.527927,-46.707313,Media
Lapa,18652.97,0.7399,1.89,7,0.2025,0.1917,3,-23.521314,-46.703107,Media
Lapa,15224.39,0.7384,2.26,3,0.2888,0.1521,3,-23.530805,-46.703635,Baixa
Lapa,17920.26,0.7773,2.178,11,0.3476,0.2164,0,-23.527195,-46.709449,Alta
Lapa,17363.75,0.7695,1.921,6,0.3018,0.1748,3,-23.526979,-46.707256,Media
Lapa,16399.94,0.7566,1.952,5,0.2311,0.2055,0,-23.525318,-46.702824,Alta
Lapa,15794.49,0.8209,2.067,11,0.4851,0.1337,2,-23.532894,-46.69976,Media
Lapa,15399.27,0.77,1.878,18,0.4913,0.1808,3,-23.532269,-46.698358,Media
Lapa,20082.34,0.7662,1.987,12,0.3904,0.2579,0,-23.525941,-46.711468,Media
Lapa,17415.15,0.7631,2.174,6,0.2335,0.2367,5,-23.523162,-46.702269,Media
Lapa,17897.4,0.7842,1.822,15,0.3944,0.1888,2,-23.529233,-46.710625,Media
Lapa,18661.0,0.8047,1.971,11,0.6432,0.2386,3,-23.52717,-46.696116,Alta
Lapa,17468.2,0.7841,2.082,7,0.0706,0.1472,5,-23.530091,-46.705258,Media
Lapa,17894.67,0.7903,2.012,8,0.3269,0.2588,0,-23.522285,-46.704114,Alta
Lapa,17632.51,0.7919,2.105,5,0.5225,0.1838,6,-23.528387,-46.71181,Alta
Lapa,15829.72,0.7509,1.835,17,0.4483,0.1991,3,-23.520783,-46.706531,Media
Lapa,17705.92,0.8014,1.912,5,0.2129,0.2708,5,-23.524268,-46.711585,Baixa
Lapa,20413.61,0.8035,2.11,10,0.4057,0.2508,6,-23.528844,-46.697451,Alta
Lapa,18367.12,0.7578,1.955,10,0.5207,0.1774,0,-23.525302,-46.703709,Media
Lapa,17567.91,0.789,2.063,11,0.2956,0.2683,3,-23.52489,-46.708237,Alta
Lapa,15747.63,0.8122,1.911,14,0.3664,0.0825,1,-23.526795,-46.706565,Alta
Lapa,18684.65,0.763,1.907,9,0.0295,0.1817,3,-23.517882,-46.701157,Alta
Lapa,19019.25,0.7682,2.032,11,0.5554,0.2339,3,-23.529074,-46.70223,Media
Lapa,17993.03,0.7677,1.942,10,0.1489,0.2688,0,-23.52402,-46.702577,Alta
Lapa,15549.03,0.7934,1.943,17,0.1634,0.2119,6,-23.52995,-46.699324,Media
Santana,12049.6,0.7623,0.861,10,0.298,0.2183,5,-23.503787,-46.628219,Baixa
Santana,10511.12,0.7533,0.735,7,0.1185,0.1466,0,-23.502962,-46.627217,Media
Santana,11690.32,0.7625,0.863,13,0.2675,0.169,3,-23.50208,-46.639796,Media
Santana,9488.87,0.7633,0.734,9,0.2117,0.1432,2,-23.509186,-46.631419,Baixa
Santana,9968.99,0.7588,0.776,15,0.3867,0.2413,5,-23.504303,-46.636246,Media
Santana,9270.81,0.7488,1.106,9,0.4606,0.1271,5,-23.504272,-46.626505,Alta
Santana,9811.79,0.7755,0.904,14,0.4134,0.2447,4,-23.509528,-46.628702,Alta
Santana,7847.69,0.7151,0.627,13,0.1998,0.2814,3,-23.50176,-46.629077,Media
Santana,9413.7,0.7803,1.433,13,0.2701,0.2902,3,-23.501264,-46.634896,Media
Santana,9904.3,0.7695,0.618,10,0.5451,0.2753,6,-23.503445,-46.630607,Media
Santana,10073.91,0.7785,0.6,10,0.3962,0.2318,1,-23.502939,-46.624639,Baixa
Santana,8762.4,0.761,0.983,10,0.7842,0.2668,2,-23.509526,-46.630016,Baixa
Santana,11707.01,0.7809,0.981,16,0.2287,0.2645,2,-23.49525,-46.624128,Media
Santana,11980.72,0.7806,0.668,13,0.1169,0.292,6,-23.502009,-46.623483,Media
Santana,10534.19,0.7806,0.767,9,0.3436,0.2109,2,-23.499071,-46.633683,Media
Santana,8790.61,0.7692,0.776,9,0.2032,0.222,2,-23.503361,-46.636428,Baixa
Santana,13233.67,0.7406,0.704,8,0.2631,0.2376,5,-23.508479,-46.623812,Media
Santana,12176.0,0.7523,0.832,12,0.264,0.3003,2,-23.496555,-46.632304,Alta
Santana,9767.34,0.7703,0.944,13,0.4289,0.2491,4,-23.498211,-46.627933,Alta
Santana,10626.55,0.7339,1.003,14,0.0758,0.2592,1,-23.499984,-46.628862,Media
Santana,8034.46,0.7468,0.69,7,0.5685,0.3216,5,-23.500784,-46.632498,Alta
Santana,10806.97,0.748,0.992,11,0.2438,0.1313,4,-23.49482,-46.623659,Alta
Santana,8797.08,0.8073,1.026,9,0.0458,0.2523,1,-23.504697,-46.630817,Baixa
